,TotalPopulation,Total Males By Age,Total Females by Age,state,county,tract,block group
0,857,467,390,02,180,000100,3
1,743,294,449,02,020,001400,6
2,354,182,172,02,020,001400,5
3,894,343,551,02,020,001400,3
4,739,481,258,02,020,001400,1
5,795,503,292,02,090,001500,6
6,1548,701,847,02,090,001500,1
7,1691,890,801,02,090,001500,3
8,1342,678,664,02,090,001600,2
9,636,403,233,02,090,001600,1
10,939,488,451,02,090,001600,4
11,1909,1058,851,02,090,001600,3
12,566,334,232,02,090,000100,1
13,512,236,276,02,090,000100,2
14,1501,789,712,02,090,000500,1
15,1363,675,688,02,090,000500,2
16,1118,657,461,02,090,000800,1
17,1591,753,838,02,090,000800,2
18,1548,678,870,02,090,000800,4
19,790,406,384,02,090,000800,3
20,2065,1130,935,02,090,001300,3
21,1182,749,433,02,090,001300,1
22,643,299,344,02,090,000400,2
23,1138,629,509,02,090,000400,1
24,640,264,376,02,090,000400,3
25,4135,2195,1940,02,090,001200,1
26,1152,507,645,02,090,001200,2
27,1772,915,857,02,090,000200,1
28,1301,693,608,02,090,000600,2
29,1047,539,508,02,090,000600,1
30,1145,590,555,02,090,000600,4
31,3709,1933,1776,02,090,000900,1
32,1015,625,390,02,090,001400,3
33,2788,1654,1134,02,090,001400,5
34,1888,1018,870,02,090,000700,1
35,939,506,433,02,090,000700,3
36,632,405,227,02,090,001000,1
37,620,339,281,02,090,001000,2
38,38,38,0,02,090,001800,1
39,1277,751,526,02,090,001900,1
40,1156,752,404,02,090,001900,5
41,3730,2050,1680,02,090,001900,2
42,10016,5849,4167,02,090,001100,1
43,154,78,76,02,090,001700,2
44,1377,666,711,02,020,002823,1
45,3950,1891,2059,02,020,002823,2
46,966,474,492,02,020,001702,1
47,1793,1045,748,02,020,001702,4
48,930,427,503,02,020,001702,3
49,566,241,325,02,020,001702,2
50,500,281,219,02,020,001702,5
51,1458,725,733,02,122,000900,1
52,1107,526,581,02,122,000900,2
53,1235,616,619,02,122,001000,2
54,3154,1479,1675,02,122,001000,1
55,904,478,426,02,122,001200,1
56,2033,1156,877,02,016,000200,1
57,860,511,349,02,060,000100,1
58,15,13,2,02,060,000100,2
59,688,465,223,02,150,000400,1
60,929,472,457,02,150,000100,3
61,1043,539,504,02,020,001731,2
62,2196,1201,995,02,020,001731,3
63,1031,560,471,02,020,001731,5
64,2367,1269,1098,02,020,001801,3
65,1268,721,547,02,020,001801,2
66,636,251,385,02,020,002202,4
67,1007,537,470,02,020,002202,3
68,1759,804,955,02,020,002303,3
69,2391,1050,1341,02,020,002303,4
70,1505,636,869,02,020,002303,6
71,1309,564,745,02,020,002303,1
72,2277,1146,1131,02,020,002812,2
73,1585,819,766,02,020,002812,3
74,1189,585,604,02,020,000202,1
75,2217,1114,1103,02,020,000202,2
76,1782,757,1025,02,020,000202,4
77,953,400,553,02,020,002000,2
78,450,237,213,02,020,002000,1
79,1241,684,557,02,020,002000,3
80,773,398,375,02,020,002100,5
81,525,287,238,02,020,002100,3
82,951,500,451,02,020,002302,1
83,1024,429,595,02,020,002302,2
84,1456,559,897,02,020,001802,2
85,499,285,214,02,020,001802,1
86,737,537,200,02,020,001802,3
87,2373,1368,1005,02,020,001802,4
88,1083,583,500,02,020,002502,4
89,883,509,374,02,020,002502,1
90,2137,1094,1043,02,020,002502,2
91,1207,663,544,02,020,002502,3
92,1065,495,570,02,020,002712,2
93,1130,477,653,02,020,002712,5
94,1746,925,821,02,020,002712,1
95,2118,1114,1004,02,020,002712,3
96,3370,1800,1570,02,020,002712,4
97,1497,711,786,02,020,002201,3
98,777,318,459,02,020,002201,4
99,1048,485,563,02,020,002201,1
100,447,321,126,02,020,002900,4
101,2059,879,1180,02,020,000204,2
102,1722,851,871,02,050,000100,2
103,2501,1313,1188,02,050,000100,5
104,1886,1021,865,02,050,000100,3
105,1385,693,692,02,050,000100,4
106,1032,570,462,02,050,000300,1
107,3262,1644,1618,02,050,000200,1
108,655,432,223,02,050,000200,4
109,659,374,285,02,050,000200,3
110,656,370,286,02,185,000200,2
111,1021,569,452,02,185,000200,3
112,2795,2268,527,02,185,000300,1
113,373,193,180,02,220,000100,2
114,1572,935,637,02,020,000204,1
115,389,152,237,02,020,002400,1
116,1228,599,629,02,020,002400,3
117,947,570,377,02,020,000703,5
118,1380,856,524,02,020,000703,1
119,669,438,231,02,020,000703,2
120,2668,1373,1295,02,020,000701,1
121,652,385,267,02,020,000701,4
122,1474,707,767,02,020,002822,3
123,1336,628,708,02,020,002822,1
124,927,480,447,02,130,000100,4
125,1043,506,537,02,130,000100,3
126,840,290,550,02,020,000802,5
127,683,263,420,02,020,000802,1
128,1042,499,543,02,020,000802,2
129,1330,652,678,02,020,000802,3
130,2049,1067,982,02,068,000100,2
131,197,134,63,02,068,000100,1
132,1729,992,737,02,261,000200,1
133,1103,572,531,02,261,000200,2
134,1929,1015,914,02,261,000300,2
135,781,410,371,02,261,000300,5
136,545,319,226,02,261,000300,4
137,468,232,236,02,261,000300,1
138,694,351,343,02,261,000100,3
139,596,317,279,02,261,000100,1
140,551,189,362,02,261,000100,2
141,1873,1074,799,02,122,000200,1
142,1699,927,772,02,122,000200,3
143,808,385,423,02,122,000200,2
144,537,291,246,02,122,000800,2
